Benoni Defense; Old Benoni; Pawn Thrust,black,1478,2148,2203,32.2,25.9,41.9,['1.d4'; 'c5'; '2.d5'; 'e5']
Benoni Defense; Old Benoni; Russian Variation,black,2534,2182,2243,25.6,24.1,50.3,['1.d4'; 'c5'; '2.d5'; 'e5'; '3.e4'; 'd6']
Benoni Defense; Pawn Storm Variation,white,151,2227,2140,57,13.9,29.1,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.f4']
Benoni Defense; Taimanov Variation,white,2354,2354,2296,49.6,20.5,29.9,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.f4'; 'Bg7'; '8.Bb5+']
Benoni Defense; Uhlmann Variation,white,574,2371,2342,42.7,26.1,31.2,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.Nf3'; 'g6'; '7.Bg5']
Benoni Defense; Vulture Defense,black,289,2162,2214,31.5,21.1,47.4,['1.d4'; 'c5'; '2.d5'; 'Nf6'; '3.c4'; 'Ne4']
Benoni Defense; Weenink Variation,black,234,2188,2212,37.2,38.5,24.4,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.dxc5'; 'e6']
Bird Opening; Dutch Variation,black,7818,2137,2135,39.6,26.5,33.9,['1.f4'; 'd5']
Bird Opening; From Gambit,black,738,2063,2066,42.5,19.1,38.4,['1.f4'; 'e5']
Bird Opening; From Gambit; Lasker Variation,black,493,2060,2112,36.7,20.1,43.2,['1.f4'; 'e5'; '2.fxe5'; 'd6'; '3.exd6'; 'Bxd6'; '4.Nf3'; 'g5']
Bird Opening; General,white,6728,2117,2111,34.5,24.6,40.9,['1.f4']
Bird Opening; Lasker Variation,black,538,2038,2039,39.4,24.9,35.7,['1.f4'; 'd5'; '2.Nf3'; 'Nf6'; '3.e3'; 'c5']
Bishop's Opening; Berlin Defense,black,4006,2177,2205,27.5,28.9,43.6,['1.e4'; 'e5'; '2.Bc4'; 'Nf6']
Bishop's Opening; Blanel Gambit,black,189,2214,2250,31.8,36,32.3,['1.e4'; 'e5'; '2.Bc4'; 'Nf6'; '3.Nc3'; 'Nxe4']
Bishop's Opening; Boden-Kieseritsky Gambit,white,322,2196,2142,42.2,27.6,30.1,['1.e4'; 'e5'; '2.Nc3'; 'Nf6'; '3.Bc4'; 'Nxe4'; '4.Nf3']
Bishop's Opening; Boi Variation,black,343,1964,1956,29.1,21.3,49.6,['1.e4'; 'e5'; '2.Bc4'; 'Bc5']
Bishop's Opening; General,white,901,2115,2098,47.1,22.4,30.5,['1.e4'; 'e5'; '2.Bc4']
